distance_from_center_km,area_m2,floor,district,rent_pln,price_pln
10.76,20.0,14,Ursynów,250,326775
5.22,42.3,12,Żoliborz,607,712574
12.3,52.4,6,Wawer,640,583773
5.02,38.9,4,Ochota,634,604543
8.53,52.5,4,Ursynów,660,792384
7.2,84.0,13,Praga-Południe,1411,1307388
4.72,25.4,12,Mokotów,308,542889
2.27,87.6,1,Śródmieście,1689,1936424
14.52,70.9,3,Białołęka,933,636259
11.91,59.8,11,Targówek,801,748124
3.94,42.2,5,Ochota,693,743603
9.46,39.3,9,Ursynów,678,545728
13.42,25.7,14,Białołęka,250,318576
5.0,85.9,10,Mokotów,1097,1549203
0.3,82.7,6,Wola,1041,1471903
14.56,29.7,15,Białołęka,329,340368
2.61,45.1,10,Śródmieście,682,974907
1.48,62.8,4,Śródmieście,730,1200752
11.42,49.6,8,Wawer,555,530226
2.04,20.5,2,Wola,438,310827
5.08,43.2,0,Targówek,326,502615
5.67,90.1,3,Żoliborz,1307,1454675
12.79,44.4,8,Białołęka,640,447318
2.97,52.1,3,Wola,922,962686
0.82,34.4,1,Śródmieście,588,782061
2.79,65.6,9,Śródmieście,981,1348305
9.1,57.1,13,Ursynów,1014,724906
9.97,41.6,13,Bemowo,661,534604
8.66,31.5,4,Targówek,439,343591
15.63,80.3,2,Białołęka,992,732521
12.71,26.1,12,Wawer,445,277641
15.24,64.1,11,Wawer,1109,689101
11.62,20.0,12,Białołęka,391,296829
12.03,67.7,8,Ursus,949,953438
8.96,72.5,3,Wilanów,861,1042422
4.41,74.7,5,Mokotów,1123,1260843
13.68,52.1,1,Wawer,569,572063
3.67,83.5,5,Wola,1390,1335411
5.73,96.5,2,Mokotów,1060,1382654
1.34,49.2,11,Wola,800,816142
7.74,46.9,11,Praga-Południe,403,690249
0.3,57.7,8,Śródmieście,581,1188180
8.08,46.4,10,Bemowo,941,734776
9.77,43.8,1,Ursynów,702,587512
12.66,45.3,14,Wawer,904,513894
9.37,85.9,11,Bemowo,835,1077959
6.41,68.9,11,Bemowo,908,991152
9.34,46.3,8,Bemowo,728,753499
10.26,20.0,4,Wilanów,385,319120
4.39,27.2,7,Mokotów,297,450468
0.51,64.1,1,Wola,1175,1208908
7.74,20.0,5,Bielany,485,355597
5.96,60.3,2,Praga-Południe,860,853839
3.56,35.8,11,Ochota,411,631488
6.8,56.7,11,Bemowo,480,748085
6.41,56.1,13,Żoliborz,821,870510
4.23,57.2,9,Mokotów,707,1139904
12.73,47.9,15,Wawer,652,518776
5.11,47.3,4,Targówek,922,778157
14.91,42.0,11,Wawer,618,442611
8.44,63.7,7,Ursynów,1263,705253
4.12,69.5,9,Ochota,949,1084510
9.34,33.1,13,Bielany,390,460935
3.69,54.1,0,Żoliborz,533,914488
14.16,58.5,4,Wawer,399,628788
5.53,58.3,2,Bielany,820,948030
4.66,58.0,3,Ochota,957,876648
10.89,47.8,1,Bemowo,495,390377
3.8,60.0,8,Żoliborz,850,762559
9.34,66.1,2,Bielany,684,889836
11.2,57.5,14,Ursynów,875,826958
2.69,64.1,1,Wola,793,1200426
0.59,72.8,9,Śródmieście,1181,1501574
1.92,21.7,10,Wola,266,296794
3.39,72.0,8,Ochota,711,1110170
4.02,61.2,6,Mokotów,900,999053
0.3,35.0,15,Śródmieście,250,815771
7.44,69.4,15,Praga-Południe,999,1027607
8.05,47.8,5,Ursynów,511,634339
6.31,50.3,0,Praga-Południe,586,722951
10.05,45.9,4,Wilanów,567,579938
6.3,60.4,11,Żoliborz,780,1039796
13.4,40.9,10,Białołęka,444,404494
1.46,71.2,13,Śródmieście,1037,1626702
6.95,52.5,14,Praga-Południe,793,728994
14.79,48.4,10,Wawer,513,591204
5.38,68.6,2,Praga-Południe,818,963044
7.26,49.2,0,Bielany,645,570501
1.73,72.1,3,Wola,998,1388393
10.68,72.6,12,Bielany,938,987183
11.66,31.0,15,Wilanów,250,338710
0.95,75.0,1,Śródmieście,855,1590832
3.32,28.7,1,Śródmieście,591,580463
9.88,76.1,2,Wilanów,1084,1269176
4.87,91.5,7,Ochota,1139,1509301
8.01,70.7,7,Bielany,710,1040674
4.48,20.0,11,Praga-Północ,607,291999
13.35,74.1,14,Wawer,785,736253
7.49,95.4,6,Targówek,1338,1231271
4.31,49.5,5,Wola,382,771854
1.86,54.4,8,Śródmieście,785,1270645
5.23,33.6,3,Ochota,654,483566
14.38,60.6,11,Białołęka,990,634491
11.91,77.8,0,Wawer,749,980519
10.05,67.6,7,Bielany,807,765044
2.68,111.6,6,Wola,1313,1823122
14.44,55.6,6,Białołęka,633,440555
8.76,25.6,15,Bielany,363,376054
6.43,58.1,14,Praga-Południe,683,739079
15.1,20.0,2,Białołęka,250,250000
11.29,45.4,3,Wilanów,683,761648
10.73,84.2,9,Ursus,1326,837596
5.95,60.9,8,Ochota,775,1077965
2.68,58.2,14,Wola,756,1061573
9.4,87.8,5,Bemowo,1181,1089457
10.53,50.1,14,Ursus,577,696220
3.69,77.7,14,Żoliborz,1114,1076104
5.75,57.3,4,Żoliborz,933,935265
6.75,61.8,2,Wola,1172,1186216
13.57,33.1,8,Białołęka,567,320300
9.46,46.3,4,Bielany,713,514826
3.61,29.8,4,Ochota,274,478039
7.99,53.3,13,Targówek,780,764926
6.61,62.0,3,Żoliborz,794,928845
2.71,35.0,13,Ochota,473,573579
2.89,91.9,3,Żoliborz,1125,1647105
5.9,60.0,11,Praga-Południe,396,907789
8.8,56.0,0,Bielany,904,639054
6.56,68.9,6,Praga-Południe,705,1173236
13.43,40.1,8,Wawer,774,345086
4.54,57.9,2,Żoliborz,1067,739392
9.94,42.1,11,Bemowo,513,511784
5.5,83.1,12,Bemowo,1228,1463859
5.1,35.9,14,Praga-Południe,429,487508
9.89,56.1,1,Wilanów,641,758691
11.85,60.9,2,Ursus,879,619005
10.79,62.1,0,Bemowo,651,842813
3.44,44.5,5,Żoliborz,607,752021
4.75,38.9,10,Wola,759,726339
5.46,44.8,10,Praga-Południe,616,782525
12.84,64.5,6,Wawer,563,691637
8.7,52.4,10,Targówek,897,591815
7.76,69.3,10,Targówek,938,896328
6.33,63.6,1,Mokotów,767,884659
10.51,20.0,7,Ursus,250,264074
13.53,59.5,13,Białołęka,730,830590
9.26,95.5,5,Bielany,1417,1194945
8.08,78.9,13,Bemowo,1213,1065577
9.3,62.6,3,Bemowo,917,736325
12.01,35.9,4,Białołęka,310,341862
3.18,63.6,7,Śródmieście,956,1387287
14.45,68.3,13,Wawer,787,807152
7.3,50.4,2,Praga-Północ,586,608436
7.61,60.7,2,Praga-Południe,860,847831
8.64,82.2,13,Wilanów,973,1297714
13.8,39.6,14,Wawer,579,283162
7.9,36.0,13,Ursynów,397,482916
10.89,67.5,10,Bemowo,1023,855046
6.68,63.2,3,Bielany,881,875379
3.62,73.5,0,Mokotów,929,1407292
6.07,65.3,8,Targówek,1118,865250
8.41,44.8,7,Bemowo,704,526141
4.17,62.8,7,Mokotów,520,970118
2.99,34.4,13,Żoliborz,658,598500
15.39,50.5,9,Wawer,444,504869
5.14,64.1,5,Żoliborz,925,1130107
4.49,48.5,6,Praga-Północ,725,709556
4.91,99.4,5,Wola,1409,1844924
9.31,20.9,15,Ursynów,407,317704
12.1,45.1,8,Wawer,548,403711
0.3,38.1,2,Śródmieście,716,875706
3.03,42.4,13,Praga-Północ,483,765025
5.81,43.4,2,Ochota,532,562183
0.3,31.1,2,Śródmieście,513,720316
11.42,68.5,9,Ursus,1093,835360
7.24,45.2,2,Praga-Południe,825,684075
8.34,57.9,8,Bielany,1021,808086
13.48,47.2,11,Wawer,523,467606
4.79,42.6,3,Ochota,834,659149
4.46,85.1,12,Ochota,1265,1564083
5.93,71.6,6,Praga-Północ,996,830675
12.75,21.4,13,Białołęka,340,250000
11.29,20.0,14,Ursus,365,250000
0.82,73.8,8,Wola,743,1380653
10.51,45.6,10,Wawer,638,598686
13.9,25.3,11,Białołęka,279,269653
4.65,73.8,6,Praga-Północ,890,1124523
7.96,58.0,8,Praga-Południe,760,704724
10.9,59.5,11,Targówek,1062,843698
10.58,69.6,2,Bemowo,909,790438
9.87,31.4,14,Bemowo,313,435844
3.19,25.6,3,Wola,271,472076
4.16,83.5,13,Praga-Południe,744,1455096
9.82,29.1,7,Wilanów,483,522043
4.55,33.0,5,Wola,528,588443
14.08,36.6,4,Wawer,457,351409
11.46,92.4,12,Wawer,1464,1142500
5.74,63.9,3,Mokotów,828,976933
14.63,72.4,7,Białołęka,1024,772330
10.42,58.5,0,Wilanów,802,927550
8.97,44.2,13,Bemowo,609,569169
4.8,66.4,8,Ochota,1093,1043850
14.84,27.0,15,Białołęka,321,296294
8.23,35.3,0,Ursynów,572,496850
13.55,68.2,7,Wawer,978,854707
10.77,30.6,3,Ursus,631,254976
6.22,51.6,8,Bielany,493,685996
5.33,52.4,13,Praga-Południe,714,764791
0.3,45.5,10,Śródmieście,1004,857675
4.18,20.0,4,Wola,335,258826
13.43,43.7,2,Wawer,736,311581
13.57,40.2,8,Białołęka,403,342955
11.7,57.9,10,Wilanów,788,831475
8.08,57.0,13,Bielany,936,798489
9.28,61.8,13,Ursus,773,714121
13.47,42.8,8,Białołęka,583,467937
2.96,64.4,3,Śródmieście,863,1417472
7.2,27.0,10,Bielany,536,355053
9.33,22.2,3,Ursynów,443,250000
1.89,20.0,11,Śródmieście,324,421101
4.71,46.0,7,Praga-Północ,674,693447
7.44,41.4,1,Żoliborz,510,567629
2.59,69.2,8,Praga-Północ,989,1066971
7.71,43.3,12,Bemowo,425,690432
12.61,59.9,13,Białołęka,662,809999
12.64,69.6,5,Wawer,1090,722980
14.32,42.6,8,Wawer,538,480428
11.76,60.4,7,Wawer,1052,501166
12.34,73.0,14,Ursus,918,816369
4.54,32.7,14,Żoliborz,646,608478
2.67,55.4,6,Praga-Północ,828,947803
2.4,42.7,15,Żoliborz,495,753739
6.17,33.9,12,Targówek,515,365018
13.2,27.3,13,Białołęka,311,269955
4.3,33.6,0,Żoliborz,370,468367
5.62,56.1,15,Ochota,918,1038612
3.96,26.0,13,Wola,472,326812
1.99,45.1,11,Wola,456,840393
4.49,69.6,2,Ochota,871,1252795
9.98,63.1,10,Bielany,715,674475
7.25,45.5,15,Mokotów,520,762307
10.62,85.4,13,Ursus,1379,1003200
9.15,89.1,1,Bielany,1175,1234927
2.67,55.5,4,Śródmieście,622,1167575
8.19,20.0,14,Wilanów,258,273278
10.39,71.0,4,Ursus,1170,745851
13.66,20.0,4,Ursus,259,250000
0.64,81.6,15,Śródmieście,961,1795299
0.99,74.5,3,Żoliborz,908,1232489
3.85,86.9,4,Praga-Północ,1206,1311449
5.35,59.7,2,Praga-Północ,921,758868
3.01,48.5,11,Wola,412,896459
6.86,46.9,0,Praga-Południe,757,659627
9.13,45.2,4,Bielany,597,547032
7.57,72.7,12,Targówek,1004,1072603
13.38,67.8,8,Białołęka,837,728055
9.18,57.2,12,Bemowo,1063,754592
9.21,42.0,8,Ursynów,683,490976
4.06,102.3,3,Praga-Północ,2022,1542484
14.11,71.4,2,Białołęka,1129,551999
8.1,26.2,0,Ursynów,479,345262
14.9,45.7,1,Białołęka,729,313722
5.22,71.8,7,Żoliborz,1068,1268263
7.4,40.6,15,Ursynów,525,528191
8.53,61.3,0,Bemowo,780,934820
14.11,72.1,7,Białołęka,1083,672882
3.36,20.0,12,Ochota,439,428880
9.76,53.1,6,Bemowo,567,731165
8.92,53.8,14,Ursynów,712,673704
9.2,47.6,7,Bemowo,573,443222
13.52,60.4,11,Białołęka,800,473673
2.61,66.8,5,Mokotów,965,1124637
11.54,57.6,11,Białołęka,938,823587
14.71,48.3,13,Białołęka,484,444764
4.82,66.4,14,Żoliborz,1017,1118185
8.53,55.9,14,Bielany,809,825954
4.16,50.8,8,Ochota,703,786698
8.26,31.4,2,Targówek,462,329758
5.16,26.9,9,Praga-Północ,337,463574
11.53,31.0,3,Ursus,393,330791
2.25,60.0,12,Śródmieście,1058,1274906
8.21,53.6,5,Bielany,1034,653561
0.64,28.4,7,Śródmieście,536,609767
4.73,66.6,4,Żoliborz,951,1186737
3.0,79.7,2,Ochota,1062,1454712
12.54,44.2,5,Wawer,639,505567
14.21,23.7,3,Białołęka,368,326556
13.2,42.2,8,Wawer,552,429021
12.87,70.4,12,Wawer,846,757201
8.33,64.9,2,Wilanów,892,1049614
3.76,38.4,3,Wola,583,776019
14.0,82.4,6,Wawer,1032,701350
5.97,79.3,6,Praga-Północ,1299,916202
5.53,41.8,11,Mokotów,444,687318
3.0,41.6,11,Wola,590,741228
3.28,44.3,3,Żoliborz,802,829380
12.79,45.9,5,Ursus,553,470460
8.3,72.1,11,Bielany,1066,782633
5.23,62.7,12,Mokotów,1002,1116155
8.7,70.8,2,Bemowo,924,841376
8.62,67.1,5,Ursynów,675,822277
10.83,85.9,11,Wilanów,1063,1134956
3.77,35.9,1,Mokotów,390,642869
9.95,61.8,7,Targówek,651,675422
14.69,20.0,1,Wawer,250,250000
4.08,31.3,10,Żoliborz,458,602617
4.96,53.7,6,Praga-Południe,860,665271
6.58,62.5,8,Ursynów,515,857991
0.3,53.2,0,Śródmieście,630,1195321
4.88,44.8,7,Praga-Północ,709,693932
1.38,48.0,6,Śródmieście,477,1116199
5.59,79.6,5,Mokotów,1368,1418592
8.79,48.1,5,Ursus,773,571633
0.53,86.5,5,Śródmieście,1586,2024127
9.64,69.3,8,Targówek,879,977359
4.38,63.2,1,Żoliborz,992,969766
7.47,33.5,0,Bemowo,384,475114
10.87,71.8,12,Ursus,1347,1002234
7.07,46.1,11,Bielany,837,705657
4.4,33.5,5,Praga-Północ,505,415993
8.02,64.2,9,Targówek,950,742005
8.65,30.0,10,Targówek,436,376704
0.3,41.3,7,Śródmieście,845,1014657
12.46,54.8,2,Wawer,969,559514
2.31,94.9,11,Śródmieście,1328,2012855
3.37,42.6,9,Mokotów,573,826384
6.8,46.8,0,Bielany,570,573167
3.24,68.2,8,Wola,681,1191502
11.34,32.7,12,Ursus,504,348106
0.41,63.0,12,Śródmieście,724,1601443
4.17,76.7,0,Żoliborz,1029,1190581
6.64,49.5,2,Praga-Południe,782,629703
5.02,73.5,7,Praga-Północ,1403,1294141
12.72,60.2,13,Białołęka,705,756561
1.44,41.8,2,Śródmieście,768,931401
6.31,51.4,15,Żoliborz,1025,736401
10.86,48.2,12,Ursus,579,610885
3.2,53.4,3,Żoliborz,588,867968
2.65,57.7,7,Praga-Północ,519,1021649
2.81,65.6,0,Wola,982,1158439
5.74,64.2,12,Żoliborz,865,1021312
5.95,20.0,12,Praga-Południe,486,308340
4.73,53.2,5,Żoliborz,543,798473
3.3,27.8,0,Żoliborz,438,474207
5.68,50.0,13,Żoliborz,550,820798
7.63,52.8,0,Bemowo,644,711739
8.39,72.6,13,Bemowo,880,1143995
3.76,54.5,7,Wola,822,914232
0.3,59.7,10,Śródmieście,682,1182418
4.71,69.3,3,Żoliborz,946,1024285
8.75,77.1,11,Wilanów,1425,1146737
8.02,52.8,0,Bielany,827,814251
9.58,56.7,9,Wilanów,846,834271
